[2025-05-14 22:31:05] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-05-14 22:31:05] [class-ss-archive-creation-job.php:120] Here's our task list: setup, fetch_urls, transfer_files_locally, wrapup
[2025-05-14 22:31:05] [class-ss-archive-creation-job.php:138] Pushing first task to queue: setup
[2025-05-14 22:31:05] [class-ss-archive-creation-job.php:194] Current task: setup
[2025-05-14 22:31:05] [class-ss-archive-creation-job.php:208] Performing task: setup
[2025-05-14 22:31:05] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-05-14 22:31:08] [class-ss-setup-task.php:33] Creating archive directory: C:\Users\santa\Local Sites\projeto-bovcapital\app\public/wp-content/uploads\simply-static\temp-files/simply-static-1-1747261865\
[2025-05-14 22:31:08] [class-ss-setup-task.php:72] Adding origin URL to queue: http://projeto-bovcapital.local/
[2025-05-14 22:31:08] [class-ss-setup-task.php:155] Adding files from directory: C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads/
[2025-05-14 22:31:08] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\android-chrome-192x192-1-150x150.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/android-chrome-192x192-1-150x150.png
[2025-05-14 22:31:08] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\android-chrome-192x192-1.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/android-chrome-192x192-1.png
[2025-05-14 22:31:08] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\android-chrome-512x512-1-150x150.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/android-chrome-512x512-1-150x150.png
[2025-05-14 22:31:08] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\android-chrome-512x512-1-300x300.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/android-chrome-512x512-1-300x300.png
[2025-05-14 22:31:08] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\android-chrome-512x512-1.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/android-chrome-512x512-1.png
[2025-05-14 22:31:08] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\apple-touch-icon-150x150.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/apple-touch-icon-150x150.png
[2025-05-14 22:31:08] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\apple-touch-icon.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/apple-touch-icon.png
[2025-05-14 22:31:08] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\boi-1-150x150.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/boi-1-150x150.png
[2025-05-14 22:31:09] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\boi-1-300x300.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/boi-1-300x300.png
[2025-05-14 22:31:09] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\boi-1.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/boi-1.png
[2025-05-14 22:31:09] [class-ss-setup-task.php:160] Adding file C:/Users/santa/Local Sites/projeto-bovcapital/app/public/wp-content/uploads\2025\05\boi-2-150x150.png to queue as: http://projeto-bovcapital.local/wp-content/uploads/2025/05/boi-2-150x150.png
